2014/09/02 11:32:44 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_AU 
2014/09/02 11:32:45 INFO  - jmeter.JMeter: Loading user properties from: D:\opt\workspaces\JavaWorkLibrary\jakarta-jmeter-2.3.4\bin\user.properties 
2014/09/02 11:32:45 INFO  - jmeter.JMeter: Loading system properties from: D:\opt\workspaces\JavaWorkLibrary\jakarta-jmeter-2.3.4\bin\system.properties 
2014/09/02 11:32:45 INFO  - jmeter.JMeter: Copyright (c) 1998-2009 The Apache Software Foundation 
2014/09/02 11:32:45 INFO  - jmeter.JMeter: Version 2.3.4 r785646 
2014/09/02 11:32:45 INFO  - jmeter.JMeter: java.version=1.7.0_60 
2014/09/02 11:32:45 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2014/09/02 11:32:45 INFO  - jmeter.JMeter: os.name=Windows 7 
2014/09/02 11:32:45 INFO  - jmeter.JMeter: os.arch=amd64 
2014/09/02 11:32:45 INFO  - jmeter.JMeter: os.version=6.1 
2014/09/02 11:32:45 INFO  - jmeter.JMeter: file.encoding=Cp1252 
2014/09/02 11:32:45 INFO  - jmeter.JMeter: Default Locale=English (Australia) 
2014/09/02 11:32:45 INFO  - jmeter.JMeter: JMeter  Locale=English (Australia) 
2014/09/02 11:32:45 INFO  - jmeter.JMeter: JMeterHome=D:\opt\workspaces\JavaWorkLibrary\jakarta-jmeter-2.3.4 
2014/09/02 11:32:45 INFO  - jmeter.JMeter: user.dir  =D:\opt\workspaces\JavaWorkLibrary\jakarta-jmeter-2.3.4\bin 
2014/09/02 11:32:45 INFO  - jmeter.JMeter: PWD       =D:\opt\workspaces\JavaWorkLibrary\jakarta-jmeter-2.3.4\bin 
2014/09/02 11:32:45 INFO  - jmeter.JMeter: IP: 10.71.21.19 Name: VJPC045 FullName: VJPC045.vj.visualjazz.com.au 
2014/09/02 11:32:45 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2014/09/02 11:32:46 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2014/09/02 11:32:46 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
